tag,model,image,n_hit,all_hit,format_ok,hit_任务ID,hit_基座模型,hit_训练方式,hit_学习率,hit_进度,hit_当前loss,hit_显存占用,hit_状态,hit_进度百分比,hit_剩余步数,hit_健康状态,latency_s,pred,truth
base,qwen,eval_000.png,9,0,1,1,1,1,1,0,1,1,1,0,1,1,5.0,"- 任务ID：job-20261206-sft-9000
- 基座模型：Qwen2.5-VL-7B-Instruct
- 训练方式：DoRA (r=64, alpha=128)
- 学习率：5.0e-6
- 进度：已完成步数93/180
- 当前loss：1.2820
- 显存占用：9.9 GB
- 状态：运行中
- 进度百分比：51.67%
- 剩余步数：87
- 健康状态：正常","- 任务ID：job-20261206-sft-9000
- 基座模型：Qwen2.5-VL-7B-Instruct
- 训练方式：DoRA (r=64, alpha=128)
- 学习率：5.0e-6
- 进度：93/180
- 当前loss：1.2820
- 显存占用：9.9 GB
- 状态：运行中
- 进度百分比：52%
- 剩余步数：87
- 健康状态：正常"
base,qwen,eval_001.png,9,0,1,1,1,1,1,1,1,1,1,1,0,0,4.26,"- 任务ID：job-20260317-sft-9001
- 基座模型：Llama-3.2-11B-Vision
- 训练方式：QLoRA (r=32, alpha=64)
- 学习率：2.0e-4
- 进度：176/600
- 当前loss：0.9063
- 显存占用：21.9 GB
- 状态：失败
- 进度百分比：29%
- 剩余步数：28:10
- 健康状态：异常","- 任务ID：job-20260317-sft-9001
- 基座模型：Llama-3.2-11B-Vision
- 训练方式：QLoRA (r=32, alpha=64)
- 学习率：2.0e-4
- 进度：176/600
- 当前loss：0.9063
- 显存占用：21.9 GB
- 状态：失败
- 进度百分比：29%
- 剩余步数：424
- 健康状态：需关注"
base,qwen,eval_002.png,9,0,1,1,1,1,1,0,1,1,1,1,0,1,3.74,"- 任务ID：job-20260116-vlm-9002
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：Full
- 学习率：1.0e-4
- 进度：已完成270/300步
- 当前loss：0.5878
- 显存占用：14.8 GB
- 状态：运行中
- 进度百分比：90%
- 剩余步数：30步
- 健康状态：正常","- 任务ID：job-20260116-vlm-9002
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：Full
- 学习率：1.0e-4
- 进度：270/300
- 当前loss：0.5878
- 显存占用：14.8 GB
- 状态：运行中
- 进度百分比：90%
- 剩余步数：30
- 健康状态：正常"
base,qwen,eval_003.png,10,0,1,1,1,1,1,1,1,1,1,1,1,0,4.25,"- 任务ID：job-20260709-vlm-9003
- 基座模型：gemma-4-E4B-it
- 训练方式：Full
- 学习率：5.0e-6
- 进度：85/300
- 当前loss：1.3407
- 显存占用：21.8 GB
- 状态：排队中
- 进度百分比：28%
- 剩余步数：215
- 健康状态：正常","- 任务ID：job-20260709-vlm-9003
- 基座模型：gemma-4-E4B-it
- 训练方式：Full
- 学习率：5.0e-6
- 进度：85/300
- 当前loss：1.3407
- 显存占用：21.8 GB
- 状态：排队中
- 进度百分比：28%
- 剩余步数：215
- 健康状态：需关注"
base,qwen,eval_004.png,8,0,1,1,1,1,1,0,1,1,1,1,0,0,4.31,"- 任务ID：job-20260311-dpo-9004
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：DoRA (r=8, alpha=16)
- 学习率：2.0e-4
- 进度：已完成169步，共240步
- 当前loss：1.4693
- 显存占用：22.3 GB
- 状态：运行中
- 进度百分比：70%
- 剩余步数：71步
- 健康状态：正常","- 任务ID：job-20260311-dpo-9004
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：DoRA (r=8, alpha=16)
- 学习率：2.0e-4
- 进度：169/240
- 当前loss：1.4693
- 显存占用：22.3 GB
- 状态：运行中
- 进度百分比：70%
- 剩余步数：71
- 健康状态：需关注"
base,qwen,eval_005.png,7,0,1,1,1,1,1,0,1,1,1,0,0,0,4.02,"- 任务ID：job-20261016-dpo-9005
- 基座模型：gemma-4-E2B-it
- 训练方式：QLoRA (r=32, alpha=64)
- 学习率：5.0e-5
- 进度：已完成459/480
- 当前loss：0.7298
- 显存占用：13.3 GB
- 状态：失败
- 进度百分比：95%
- 剩余步数：01:01
- 健康状态：异常","- 任务ID：job-20261016-dpo-9005
- 基座模型：gemma-4-E2B-it
- 训练方式：QLoRA (r=32, alpha=64)
- 学习率：5.0e-5
- 进度：459/480
- 当前loss：0.7298
- 显存占用：13.3 GB
- 状态：失败
- 进度百分比：96%
- 剩余步数：21
- 健康状态：需关注"
base,qwen,eval_006.png,8,0,1,1,1,1,1,0,1,1,1,0,0,1,4.2,"- 任务ID：job-20260515-sft-9006
- 基座模型：gemma-4-E2B-it
- 训练方式：QLoRA (r=64, alpha=128)
- 学习率：3.0e-4
- 进度：已完成230/300步
- 当前loss：0.3080
- 显存占用：14.3 GB
- 状态：运行中
- 进度百分比：76.67%
- 剩余步数：70步
- 健康状态：正常","- 任务ID：job-20260515-sft-9006
- 基座模型：gemma-4-E2B-it
- 训练方式：QLoRA (r=64, alpha=128)
- 学习率：3.0e-4
- 进度：230/300
- 当前loss：0.3080
- 显存占用：14.3 GB
- 状态：运行中
- 进度百分比：77%
- 剩余步数：70
- 健康状态：正常"
base,qwen,eval_007.png,8,0,1,1,1,1,1,1,1,1,1,0,0,0,4.39,"- 任务ID：job-20260220-vlm-9007
- 基座模型：gemma-4-E2B-it
- 训练方式：DoRA (r=64, alpha=128)
- 学习率：5.0e-6
- 进度：111/120
- 当前loss：0.5911
- 显存占用：18.2 GB
- 状态：失败
- 进度百分比：92.5%
- 剩余步数：02:11
- 健康状态：异常","- 任务ID：job-20260220-vlm-9007
- 基座模型：gemma-4-E2B-it
- 训练方式：DoRA (r=64, alpha=128)
- 学习率：5.0e-6
- 进度：111/120
- 当前loss：0.5911
- 显存占用：18.2 GB
- 状态：失败
- 进度百分比：92%
- 剩余步数：9
- 健康状态：需关注"
base,qwen,eval_008.png,9,0,1,1,1,1,1,0,1,1,1,1,0,1,4.45,"- 任务ID：job-20260923-sft-9008
- 基座模型：gemma-4-E2B-it
- 训练方式：DoRA (r=64, alpha=128)
- 学习率：5.0e-5
- 进度：已完成211步，总步数300步
- 当前loss：0.5766
- 显存占用：14.4 GB
- 状态：运行中
- 进度百分比：70%
- 剩余步数：89步
- 健康状态：正常","- 任务ID：job-20260923-sft-9008
- 基座模型：gemma-4-E2B-it
- 训练方式：DoRA (r=64, alpha=128)
- 学习率：5.0e-5
- 进度：211/300
- 当前loss：0.5766
- 显存占用：14.4 GB
- 状态：运行中
- 进度百分比：70%
- 剩余步数：89
- 健康状态：正常"
base,qwen,eval_009.png,10,0,1,1,1,1,1,1,1,1,1,0,1,1,3.81,"- 任务ID：job-20260216-dpo-9009
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：Full
- 学习率：5.0e-6
- 进度：159/180
- 当前loss：1.4217
- 显存占用：19.8 GB
- 状态：排队中
- 进度百分比：87.78%
- 剩余步数：21
- 健康状态：正常","- 任务ID：job-20260216-dpo-9009
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：Full
- 学习率：5.0e-6
- 进度：159/180
- 当前loss：1.4217
- 显存占用：19.8 GB
- 状态：排队中
- 进度百分比：88%
- 剩余步数：21
- 健康状态：正常"
base,qwen,eval_010.png,8,0,1,1,1,1,1,0,1,1,1,0,1,0,4.42,"- 任务ID：job-20261120-sft-9010
- 基座模型：Qwen2-VL-2B-Instruct
- 训练方式：Full
- 学习率：1.0e-5
- 进度：已完成283/480
- 当前loss：1.6541
- 显存占用：19.3 GB
- 状态：失败
- 进度百分比：58.96%
- 剩余步数：197
- 健康状态：异常","- 任务ID：job-20261120-sft-9010
- 基座模型：Qwen2-VL-2B-Instruct
- 训练方式：Full
- 学习率：1.0e-5
- 进度：283/480
- 当前loss：1.6541
- 显存占用：19.3 GB
- 状态：失败
- 进度百分比：59%
- 剩余步数：197
- 健康状态：需关注"
base,qwen,eval_011.png,10,0,1,1,1,1,1,1,1,1,1,1,0,1,4.69,"- 任务ID：job-20260109-vlm-9011
- 基座模型：Llama-3.2-3B-Instruct
- 训练方式：QLoRA (r=64, alpha=128)
- 学习率：5.0e-5
- 进度：123/600
- 当前loss：0.6895
- 显存占用：14.3 GB
- 状态：运行中
- 进度百分比：20%
- 剩余步数：31:12
- 健康状态：正常","- 任务ID：job-20260109-vlm-9011
- 基座模型：Llama-3.2-3B-Instruct
- 训练方式：QLoRA (r=64, alpha=128)
- 学习率：5.0e-5
- 进度：123/600
- 当前loss：0.6895
- 显存占用：14.3 GB
- 状态：运行中
- 进度百分比：20%
- 剩余步数：477
- 健康状态：正常"
base,qwen,eval_012.png,7,0,1,1,1,1,1,0,1,1,1,0,0,0,3.91,"- 任务ID：job-20260914-vlm-9012
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：Full
- 学习率：1.0e-4
- 进度：已完成414/600步
- 当前loss：0.9585
- 显存占用：21.2 GB
- 状态：失败
- 进度百分比：68.97%
- 剩余步数：186步
- 健康状态：异常","- 任务ID：job-20260914-vlm-9012
- 基座模型：Qwen2.5-3B-Instruct
- 训练方式：Full
- 学习率：1.0e-4
- 进度：414/600
- 当前loss：0.9585
- 显存占用：21.2 GB
- 状态：失败
- 进度百分比：69%
- 剩余步数：186
- 健康状态：需关注"
base,qwen,eval_013.png,7,0,1,1,1,1,1,0,1,1,1,0,0,0,3.78,"- 任务ID：job-20260225-vlm-9013
- 基座模型：Qwen2-VL-2B-Instruct
- 训练方式：DoRA (r=8, alpha=16)
- 学习率：5.0e-6
- 进度：已完成
- 当前loss：1.5612
- 显存占用：18.8 GB
- 状态：已完成
- 进度百分比：100%
- 剩余步数：0
- 健康状态：正常","- 任务ID：job-20260225-vlm-9013
- 基座模型：Qwen2-VL-2B-Instruct
- 训练方式：DoRA (r=8, alpha=16)
- 学习率：5.0e-6
- 进度：166/600
- 当前loss：1.5612
- 显存占用：18.8 GB
- 状态：已完成
- 进度百分比：28%
- 剩余步数：434
- 健康状态：需关注"
